name,t90,t90_error,t50,t50_error,flux_64,flux_64_error,dec,error_radius,relative_peak_time,relative_peak_time_error,t50_t90,t50_t90_error,cut_t90,cut_peak_time,cut_duration_ratio,cut_flux64,cut_dec,passes_all_cuts
GRB221112263,10.752,4.471,4.096,2.36,3.0836,1.0075,-52.59,5.66,0.09523809523809523,0.03960282029478458,0.38095238095238093,0.2706875891964919,False,True,True,True,False,False
GRB250201417,16.384,0.362,11.264,0.362,18.9779,1.4849,-52.57,1.1,0.15625,0.003452301025390625,0.6875,0.026812624350353358,False,True,True,False,False,False
GRB251103199,4.544,0.41,1.664,0.143,24.4434,2.4466,16.1296,0.0355,0.16901408450704228,0.015249950406665345,0.36619718309859156,0.045630143191981935,False,True,True,False,True,False
GRB230915288,28.928,4.419,8.704,0.923,7.3831,1.5827,-52.17,3.99,0.20353982300884954,0.03109245291330566,0.3008849557522124,0.05595193533008545,False,True,True,True,False,False
GRB231203293,36.608,2.318,16.64,1.864,6.125,0.8042,-51.51,3.73,0.06993006993006992,0.004427936573915595,0.4545454545454546,0.05848936163916644,False,True,True,True,False,False
GRB221103285,140.29,1.448,71.169,2.29,6.3706,0.9843,-51.23,2.13,0.2463539810392758,0.00254273693452756,0.5072991660132583,0.01714256716167893,False,False,True,True,False,False
GRB230204130,0.032,0.705,0.032,0.045,6.3087,0.905,-50.73,8.98,0.0,0.0,1.0,22.076084698718656,True,True,True,True,False,False
GRB230227432,15.36,9.018,8.704,0.923,10.0083,2.262,-50.38,1.75,0.18333333333333332,0.10763671875,0.5666666666666668,0.33807856596808333,False,True,True,True,False,False
GRB230529330,36.608,2.36,18.688,0.923,3.4063,1.0221,-50.0,12.67,0.09090909090909093,0.0058606166560712025,0.5104895104895105,0.04145770944434666,False,True,True,True,False,False
GRB230116205,7.933,1.055,4.096,0.362,12.5869,1.1056,-49.71,2.06,0.19324341358880628,0.025699206017419717,0.516324215303164,0.08244526764656114,False,True,True,False,False,False
GRB240417782,1.024,0.607,0.384,0.231,4.0443,1.829,-49.68,12.81,0.4375,0.25933837890625,0.375,0.3167047152540702,True,True,True,True,False,False
GRB230518951,0.896,0.286,0.448,0.202,3.6724,1.0019,-49.62,19.05,0.42857142857142855,0.13679846938775508,0.5,0.27622035073252843,True,False,True,True,False,False
GRB241105671,91.842,1.584,45.569,9.159,12.8708,3.523,-49.7547,0.05,0.024389712767579105,0.0004206496485686865,0.49616733085080905,0.10009209553020769,False,True,True,True,False,False
